"Population résidante permanente et non permanente selon le canton, le sexe, l'état civil et l'âge"

"Année"	"Canton"	"Type de population"	"Sexe"	"Etat civil"	"Age - Total"
"2014"	"Zürich"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	1446354
"2014"	"Bern / Berne"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	1009418
"2014"	"Luzern"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	394604
"2014"	"Uri"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	36008
"2014"	"Schwyz"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	152759
"2014"	"Obwalden"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	36834
"2014"	"Nidwalden"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	42080
"2014"	"Glarus"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	39794
"2014"	"Zug"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	120089
"2014"	"Fribourg / Freiburg"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	303377
"2014"	"Solothurn"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	263719
"2014"	"Basel-Stadt"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	190580
"2014"	"Basel-Landschaft"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	281301
"2014"	"Schaffhausen"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	79417
"2014"	"Appenzell Ausserrhoden"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	54064
"2014"	"Appenzell Innerrhoden"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	15854
"2014"	"St. Gallen"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	495824
"2014"	"Graubünden / Grigioni / Grischun"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	195886
"2014"	"Aargau"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	645277
"2014"	"Thurgau"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	263733
"2014"	"Ticino"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	350363
"2014"	"Vaud"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	761446
"2014"	"Valais / Wallis"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	331763
"2014"	"Neuchâtel"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	177327
"2014"	"Genève"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	477385
"2014"	"Jura"	"Population résidante permanente"	"Sexe - Total"	"Etat civil - Total"	72410
